experiment_idx,weights,weights_str,cv_score,test_roc_auc,test_accuracy,test_f1,test_precision,test_recall,threshold,train_pos_rate,test_pos_rate,weight_fare_efficiency,weight_time_efficiency,weight_distance_score,weight_time_premium,weight_rating_bonus,weight_wait_penalty,weight_duration_efficiency
140,"[0.03425241814785683, 0.26967405269983885, 0.00936311224690788, 0.0850506480065541, 0.3590186929719493, 0.044888250526170424, 0.19775282540072261]","0.034,0.270,0.009,0.085,0.359,0.045,0.198",0.8727101760319111,0.8731337936207928,0.782258064516129,0.7774480712166172,0.7881894150417827,0.7669955545917814,0.5072947737984481,0.5,0.49586021505376343,0.03425241814785683,0.26967405269983885,0.00936311224690788,0.0850506480065541,0.3590186929719493,0.044888250526170424,0.19775282540072261
141,"[0.05218499786921408, 0.4388275562686856, 0.02108282890956409, 0.07438681864807647, 0.10100711340921821, 0.19209228916159748, 0.12041839573364399]","0.052,0.439,0.021,0.074,0.101,0.192,0.120",0.9036870989420741,0.9049355886380077,0.8109139784946237,0.8013779861071892,0.8318677453394302,0.7730442362170408,0.46080316146544764,0.5,0.4934408602150538,0.05218499786921408,0.4388275562686856,0.02108282890956409,0.07438681864807647,0.10100711340921821,0.19209228916159748,0.12041839573364399
142,"[0.19708112181957885, 0.01965084389348479, 0.20481476195602294, 0.31563882858289266, 0.18412705112851835, 0.049448214143596354, 0.02923917847590592]","0.197,0.020,0.205,0.316,0.184,0.049,0.029",0.9717744970516824,0.9727573204565031,0.901505376344086,0.9004564225168442,0.9026143790849673,0.8983087597571553,0.49629634281964924,0.5,0.49591397849462365,0.19708112181957885,0.01965084389348479,0.20481476195602294,0.31563882858289266,0.18412705112851835,0.049448214143596354,0.02923917847590592
143,"[0.04959893536692997, 0.01999044688176571, 0.17108528132603357, 0.12473526236124594, 0.12490911896012687, 0.15141760610114702, 0.358263349002751]","0.050,0.020,0.171,0.125,0.125,0.151,0.358",0.74535089316684,0.7435973723577236,0.6817204301075269,0.6797922977066205,0.6783979272373961,0.6811924119241193,0.4529853981768324,0.5,0.4959677419354839,0.04959893536692997,0.01999044688176571,0.17108528132603357,0.12473526236124594,0.12490911896012687,0.15141760610114702,0.358263349002751
144,"[0.01324630824056317, 0.09877413120774013, 0.047995522500521776, 0.24084448818701687, 0.41180885374203213, 0.06571279234624307, 0.12161790377588291]","0.013,0.099,0.048,0.241,0.412,0.066,0.122",0.9467225257255173,0.9469187034282032,0.8626344086021506,0.8635076660077996,0.8565069944891903,0.8706237207799202,0.5085956270691573,0.5,0.49908602150537634,0.01324630824056317,0.09877413120774013,0.047995522500521776,0.24084448818701687,0.41180885374203213,0.06571279234624307,0.12161790377588291
145,"[0.00989506052295464, 0.13060209410244683, 0.07611602192903781, 0.19958672601536023, 0.13783339751226706, 0.33207900387587, 0.11388769604206335]","0.010,0.131,0.076,0.200,0.138,0.332,0.114",0.7894381214591284,0.7867173585295926,0.7140322580645161,0.705791249516013,0.7195218224878764,0.6925749023013461,0.4280498146887335,0.5,0.49526881720430105,0.00989506052295464,0.13060209410244683,0.07611602192903781,0.19958672601536023,0.13783339751226706,0.33207900387587,0.11388769604206335
146,"[0.09390520900216495, 0.27582657893856233, 0.08529378859365108, 0.1457648254039443, 0.03733156710419012, 0.20954951994673554, 0.1523285110107518]","0.094,0.276,0.085,0.146,0.037,0.210,0.152",0.8749621090588509,0.87468216405832,0.7873118279569893,0.7785986120438774,0.8011978806726561,0.757239277160897,0.4450250338368036,0.5,0.4938709677419355,0.09390520900216495,0.27582657893856233,0.08529378859365108,0.1457648254039443,0.03733156710419012,0.20954951994673554,0.1523285110107518
147,"[0.14428101985821168, 0.15170184015330215, 0.12658622352581234, 0.010905424993296454, 0.04935624644959693, 0.28164252994931394, 0.23552671507046663]","0.144,0.152,0.127,0.011,0.049,0.282,0.236",0.8016362693664008,0.7977332210306689,0.7205913978494624,0.7144662381187847,0.7171850871387602,0.711767925561029,0.44294823462546634,0.5,0.49112903225806454,0.14428101985821168,0.15170184015330215,0.12658622352581234,0.010905424993296454,0.04935624644959693,0.28164252994931394,0.23552671507046663
148,"[0.22141436931118927, 0.3777985567948911, 0.10797698911738063, 0.10008748576677197, 0.08928888129980593, 0.00865986159771101, 0.09477385611225027]","0.221,0.378,0.108,0.100,0.089,0.009,0.095",0.9561384516996185,0.9558456482834583,0.8767741935483871,0.8730756451434267,0.8798973099676303,0.8663589405429168,0.5015387579900865,0.5,0.4891935483870968,0.22141436931118927,0.3777985567948911,0.10797698911738063,0.10008748576677197,0.08928888129980593,0.00865986159771101,0.09477385611225027
149,"[0.1519121821469016, 0.037751867894224564, 0.2557090507314656, 0.11508119531300239, 0.13693858531511652, 0.10749315842786719, 0.1951139601714221]","0.152,0.038,0.256,0.115,0.137,0.107,0.195",0.921920294253671,0.921104267500468,0.848010752688172,0.8466670282583935,0.8423267860997194,0.8510522298549776,0.4947934691315089,0.5,0.49306451612903224,0.1519121821469016,0.037751867894224564,0.2557090507314656,0.11508119531300239,0.13693858531511652,0.10749315842786719,0.1951139601714221
